PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.600000;0.983777;-0.870864;1.837807;
2y;6m;0.600000;0.983444;-0.806276;1.582399;
2y;9m;0.600000;1.000000;-0.741602;1.193927;
2y;1y;0.600000;1.000000;-0.713355;0.821578;
2y;2y;0.600000;1.000000;-0.682796;1.437202;
2y;5y;0.600000;0.871599;-0.644576;1.685999;
2y;10y;0.600000;0.935629;-0.595120;1.445476;
5y;3m;0.600000;1.000000;-0.999000;0.523015;
5y;6m;0.600000;1.000000;0.009301;0.001000;
5y;9m;0.600000;1.000000;-0.999000;0.498407;
5y;1y;0.600000;1.000000;-0.999000;0.564198;
